                             merge_commit,                              base_commit,                              left_commit,                             right_commit, merge_driver, merge_ok, build_ok, num_expected_classfiles, num_equal_classfiles
 02a41cd29615c2a435b91515541d0e51b94b908c, f2a3abf5d87f2fc85386c1875bb78ffa2e80d4f4, d23061d4f5dd718bc275deccad14185b72bea4ca, b83156e96d4e02f1e1378b5f5a189fc0bb9e07b7,        spork,     True,     True,                       1,                    1
 04f81d7edb17f4515e4f14fa59c0ab0e1cfd8938, beb46d9349f3e7d83e0d137989c4dac5ccdbfa7d, f8bf5d969fbb7287c107e04188b9608c50db57f2, 0b6816ce2f9aaad49456ec5b3d5ecfd4cd738113,        spork,     True,     True,                       1,                    1
 0b64431c4270d8a66b7290194ebf55289671d6ce, ac6497094ac533a8ba62483f2e385072558a0e4f, 312670bddfb373f7f787e9def79766ef4935d1b0, 26b543847ff5fce48af381d942dd03dbecd27b8f,        spork,     True,     True,                       2,                    2
 0cfbe6e6971ff3f385408816d7743d69add08125, a379b99c594f1dd4c672943111354f4167527878, c58de4b048ee811fc98ecdeaf2cef06c0d0aaa04, b48e06e2ab8449f6e8e121d4984151f4a0103c99,        spork,     True,     True,                       1,                    1
 134fe1c2fdb2917fe37d9a6370dc083113d4a3bd, 0571033b0ed4ea38fabe4e15415fc443440d551c, 7f5045d5d474d996c6988c6efec09d907b788865, b4b0955b6a5c0d51d38ed4ac511dce85a159efaf,        spork,     True,     True,                       2,                    2
 1489d90a29ea2e80d5a41deec22b36667beb7725, 8d71776881a4fd0d439ef04f0409e21d7d1dd32b, f052d83da064852d4c5301149630f0596ab0febd, a17d2a3fe6741dbb9773100c43dd398aece1dbd1,        spork,     True,     True,                       2,                    2
 1bbf1afe9c3cc9b0d9356a5d8e202744f21f0aed, 20a65172b23521d93402a9e034108f9148792153, 4782b42f7e050a6eb3d51cf5a4d6d83f3dab4be2, 1faebe73749f47554406ab3ea3ece4a403c06e97,        spork,     True,     True,                       2,                    2
 22692ceab154db61298d9fa9bc682a29bd1d8767, d275cc656af4f03c0dabdd197da77f75ccdbc5b0, 5d0a6e350296f0094282e3ddae5449862add6245, bc26abc21d23648405d106d778bcc6b282809f69,        spork,     True,     True,                       1,                    1
 26764792aef92cecf2ae63938c0cc29e07c9d1cd, d23061d4f5dd718bc275deccad14185b72bea4ca, 5916b9903c9d5df4fce1e48382a72efc4836d5a3, d39ce4cdd4f6b670120baa0782e39efac534c1c8,        spork,     True,     True,                       1,                    1
 2df459fd75b562d9127aa2a9349ccc5c8ddc1bfe, 728b371783f1248a0b81927f79523250dce1e95b, 54453f147e260fda604ee7d02a45191bfe47aba9, 3ddc0a83de5b4ec018b640ad2424eacff06fd284,        spork,     True,     True,                       1,                    1
 312670bddfb373f7f787e9def79766ef4935d1b0, 8754a906f14f57bd490168275964a70a97d31533, 21c6e2f0ec1257b13e8a1a1fcab82cef56dc6788, 98efe2d3596b70394df1188bc29cce13eeb3fec6,        spork,     True,     True,                       1,                    1
 421f393e9c20ad7f9b8ced212cc961f1c7ad3f8f, 26bbaf9508cd644124d0bb59e2c7d7a78ce9bd98, 9656c6361065eeecefe5779674877231a6243979, 29e24527673f64be9e8b88218491a6bdf69395a6,        spork,     True,     True,                       1,                    1
 49bc215fe93980b7d392bcf45a382b60764098f2, b492d84a3f80385c7d6e0ad3d6b60e3a6d4885fd, 7901da1a85f4b97c4cf0997b9c302077d211b1c1, 9d3817c643c233cb03a03af71cd9fc59f18b5e72,        spork,     True,     True,                       1,                    1
 5916b9903c9d5df4fce1e48382a72efc4836d5a3, d23061d4f5dd718bc275deccad14185b72bea4ca, 02a41cd29615c2a435b91515541d0e51b94b908c, 56ead0155c6a1626f4e09f5ab39d28e9ae8587c9,        spork,     True,     True,                       1,                    1
